service,endpoint,type,layer,count,mean_latency,variance,stddev,cov
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/09e690cd-5436-4df5-b910-30d8c6d670f5","UNKNOWN_TYPE","UNKNOWN_LAYER",1,9.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/04b8850a-af97-4476-b099-bee2815e4b60","UNKNOWN_TYPE","UNKNOWN_LAYER",1,7.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/55c69a56-23e1-4849-bb17-1e8f08203b5b","UNKNOWN_TYPE","UNKNOWN_LAYER",1,3.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/6cfb23e7-abe2-45ac-892a-61018b399b06","UNKNOWN_TYPE","UNKNOWN_LAYER",1,7.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/81dfa903-c672-41f1-a99c-ad1eb6d92669","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/81dfa903-c672-41f1-a99c-ad1eb6d92669","UNKNOWN_TYPE","UNKNOWN_LAYER",1,14.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/386ca95d-b82c-4883-bc80-cdd8004c4601","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/9fff0327-cdca-41f9-892f-8154acfb6c1b","UNKNOWN_TYPE","UNKNOWN_LAYER",1,3.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/0fc62dd2-9950-4dc3-adae-089ef88acf84","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/bbcf0a17-10ef-435b-b85c-311829f4be2d","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/97cbb240-684a-43cc-8714-2804a3845c5d","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/693297af-2ebc-4cae-ac52-93e1834e2729","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/2f120cf5-266d-4d1a-a0a1-f174cfb5a9ef","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/2f120cf5-266d-4d1a-a0a1-f174cfb5a9ef","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/fae5a075-606a-4e0d-9cb4-f9393efabd73","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/142bb88c-2b85-4dfb-ba2d-42d00d16923e","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/7f9979a7-7dbd-445c-8174-c4c5ec78be5f","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/00c1409e-f0d1-4a1b-9df2-ace587b1e216","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/81835c01-d5aa-41b0-a19c-e496fafc5513","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/3a3faf52-a907-4cd7-8444-cd72370af99f","UNKNOWN_TYPE","UNKNOWN_LAYER",1,3.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/9ed02371-d7c3-4405-9a48-09c86eba9e02","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
